baumart,hoehe_m,bhd_cm,abteilung,standort,alter_jahre,datum_aufnahme
Kiefer,9.0,10.7,B2,Sued,53,2023-09-26
Buche,24.1,28.8,B1,West,87,2022-10-17
Kiefer,17.1,20.7,A1,Nord,46,2024-05-23
Kiefer,,24.6,B2,Sued,57,2024-05-15
Kiefer,23.1,26.6,A2,Mitte,53,2023-04-02
Douglasie,23.6,24.8,C1,Mitte,61,2024-05-16
Buche,27.5,23.9,C2,Nord,75,2024-09-14
Tanne,24.4,22.5,B2,Nord,74,2023-04-21
Kiefer,16.3,21.1,B1,Mitte,44,2024-07-08
Buche,14.7,12.8,C1,Sued,70,2024-10-14
Buche,37.8,37.9,A2,West,77,2022-07-28
Fichte,24.5,26.5,C1,West,48,2024-06-16
Laerche,21.7,23.4,C2,West,62,2023-08-12
Tanne,17.6,16.9,C2,Ost,65,2023-05-26
Eiche,18.7,18.3,B1,West,100,2023-09-06
Kiefer,24.8,30.8,C2,West,56,2024-05-20
Tanne,15.2,13.7,A2,West,75,2024-07-15
Tanne,18.9,19.1,B2,Sued,67,2024-09-16
Fichte,27.1,30.2,B1,Ost,55,2022-08-17
Laerche,18.9,23.2,C2,Sued,59,2024-05-11
Kiefer,20.3,24.6,B1,Nord,54,2022-08-05
Tanne,21.8,25.2,A1,Ost,55,2024-09-24
Buche,20.8,20.7,C2,Mitte,75,2024-07-11
Tanne,19.5,23.2,B2,Mitte,67,2023-07-09
Kiefer,18.1,24.2,A1,Sued,59,2024-08-11
Kiefer,,23.2,B2,Sued,49,2024-07-26
Buche,18.1,18.7,C2,Ost,88,2023-08-17
Douglasie,,38.8,C1,West,70,2022-09-17
Kiefer,24.3,33.4,A1,Nord,58,2023-10-14
Tanne,28.6,27.4,C2,Sued,70,2024-04-04
Eiche,23.4,17.2,C1,Sued,102,2024-09-25
Buche,26.8,25.3,A1,Mitte,75,2023-09-13
Douglasie,34.0,35.7,C1,Ost,59,2023-06-19
Eiche,20.0,16.8,A1,West,90,2023-05-21
Laerche,20.2,24.9,A2,West,65,2022-06-07
Kiefer,22.0,27.5,A2,West,41,2022-09-28
Douglasie,28.2,29.0,C1,Nord,59,2024-07-26
Kiefer,17.1,23.9,B2,Ost,43,2023-04-09
Fichte,,22.8,A2,Mitte,56,2022-06-25
Laerche,21.6,27.1,A1,Mitte,63,2023-09-10
Kiefer,14.1,18.1,B1,Nord,48,2022-08-10
Douglasie,32.0,33.8,B2,Nord,64,2024-08-16
Laerche,25.2,32.6,B1,Mitte,49,2024-07-14
Kiefer,20.4,25.0,C2,Ost,55,2023-09-19
Buche,29.2,25.6,B1,Nord,90,2023-07-13
Eiche,19.3,17.3,C1,Mitte,105,2022-04-05
Douglasie,23.7,26.5,B2,Sued,59,2022-06-05
Buche,37.1,32.2,A2,Mitte,82,2022-06-18
Eiche,23.3,19.4,A1,Mitte,98,2024-10-07
Kiefer,23.8,28.8,B1,West,47,2023-05-13
Douglasie,29.7,26.6,B2,Mitte,60,2023-06-27
Douglasie,35.6,34.5,C2,Mitte,50,2022-10-16
Kiefer,22.4,29.2,C1,West,56,2022-05-07
Eiche,21.8,18.6,A2,Mitte,109,2023-04-14
Buche,30.6,27.6,C1,Sued,90,2022-05-06
Douglasie,18.4,20.1,B1,Nord,60,2023-06-26
Eiche,17.5,10.9,A2,Nord,102,2024-05-16
Buche,33.3,26.5,B2,Ost,83,2022-10-07
Tanne,15.2,15.6,A2,Sued,72,2024-04-21
Douglasie,35.3,28.4,C2,Mitte,61,2022-08-07
Douglasie,26.9,26.4,B2,Nord,67,2024-04-27
Eiche,22.9,,A2,Sued,110,2023-05-05
Douglasie,,35.9,B2,Mitte,52,2023-05-02
Laerche,22.1,21.5,B1,Ost,51,2023-05-10
Tanne,27.3,25.4,C2,Ost,72,2024-10-05
Eiche,25.0,21.5,C1,Mitte,100,2024-04-04
Buche,28.4,26.0,A1,Mitte,87,2022-08-10
Kiefer,29.0,37.1,B2,Sued,60,2023-04-01
Tanne,25.5,30.9,A1,Ost,66,2022-05-01
Douglasie,30.8,34.1,C1,Sued,51,2022-04-11
Douglasie,40.1,35.6,B2,Ost,55,2022-05-11
Douglasie,37.4,36.0,A2,Nord,64,2023-10-16
Douglasie,27.9,29.6,C2,Sued,70,2022-09-11
Fichte,28.1,25.6,C1,Mitte,54,2023-09-04
Tanne,11.9,10.0,A1,West,58,2023-04-19
Tanne,23.6,20.5,A2,Sued,63,2022-08-09
Kiefer,15.7,19.9,B1,Nord,48,2024-05-16
Kiefer,20.7,27.5,C2,Ost,51,2022-08-09
Eiche,11.9,10.2,C2,Ost,105,2024-04-27
Buche,31.5,32.9,C2,West,70,2022-07-21
Buche,28.2,24.1,B2,Sued,72,2024-08-14
Buche,30.7,32.3,A1,Sued,77,2024-06-15
Buche,21.3,16.9,C1,West,83,2024-08-04
Laerche,28.5,35.2,B1,Sued,45,2023-10-18
Douglasie,33.0,35.9,B2,Sued,62,2023-08-13
Buche,21.6,19.8,B2,Sued,84,2024-04-01
Fichte,23.2,25.0,B2,Mitte,46,2022-07-03
